Kanton,Kantonsname,Jahr,Treibstoff,DATA_Inverkehrsetzung,DATA_Bestand,DATA_Bevölkerung_Vorjahr,DATA_Inverkehrsetzung pro 1000,DATA_Bestand pro 1000
NW,Nidwalden,2014,Anderer,0,44,41888.0,0.0,1.050420168067227
NW,Nidwalden,2014,Benzin,970,18398,41888.0,23.156990068754777,439.2188693659282
NW,Nidwalden,2014,Benzin-elektrisch: Normal-Hybrid,30,239,41888.0,0.7161955691367456,5.705691367456073
NW,Nidwalden,2014,Benzin-elektrisch: Plug-in-Hybrid,1,1,41888.0,0.02387318563789152,0.02387318563789152
NW,Nidwalden,2014,Diesel,618,6949,41888.0,14.753628724216961,165.89476699770816
NW,Nidwalden,2014,Diesel-elektrisch: Normal-Hybrid,2,15,41888.0,0.04774637127578304,0.3580977845683728
NW,Nidwalden,2014,Diesel-elektrisch: Plug-in-Hybrid,2,3,41888.0,0.04774637127578304,0.07161955691367457
NW,Nidwalden,2014,Elektrisch,7,22,41888.0,0.16711229946524064,0.5252100840336135
NW,Nidwalden,2014,Gas (mono- und bivalent),1,34,41888.0,0.02387318563789152,0.8116883116883118
NW,Nidwalden,2014,Ohne Motor,0,0,41888.0,0.0,0.0
NW,Nidwalden,2014,Wasserstoff,0,0,41888.0,0.0,0.0
NW,Nidwalden,2015,Anderer,0,47,42080.0,0.0,1.1169201520912546
NW,Nidwalden,2015,Benzin,1028,18204,42080.0,24.429657794676807,432.6045627376426
NW,Nidwalden,2015,Benzin-elektrisch: Normal-Hybrid,31,264,42080.0,0.7366920152091254,6.273764258555134
NW,Nidwalden,2015,Benzin-elektrisch: Plug-in-Hybrid,5,4,42080.0,0.1188212927756654,0.09505703422053231
NW,Nidwalden,2015,Diesel,717,7442,42080.0,17.038973384030417,176.85361216730038
NW,Nidwalden,2015,Diesel-elektrisch: Normal-Hybrid,5,19,42080.0,0.1188212927756654,0.4515209125475285
NW,Nidwalden,2015,Diesel-elektrisch: Plug-in-Hybrid,2,3,42080.0,0.04752851711026616,0.07129277566539924
NW,Nidwalden,2015,Elektrisch,23,37,42080.0,0.5465779467680609,0.879277566539924
NW,Nidwalden,2015,Gas (mono- und bivalent),1,29,42080.0,0.02376425855513308,0.6891634980988592
NW,Nidwalden,2015,Ohne Motor,0,0,42080.0,0.0,0.0
NW,Nidwalden,2015,Wasserstoff,0,0,42080.0,0.0,0.0
NW,Nidwalden,2016,Anderer,0,41,42420.0,0.0,0.9665252239509665
NW,Nidwalden,2016,Benzin,931,18057,42420.0,21.94719471947195,425.67185289957564
NW,Nidwalden,2016,Benzin-elektrisch: Normal-Hybrid,49,309,42420.0,1.155115511551155,7.284299858557285
