Kanton,Kantonsname,Jahr,Treibstoff,DATA_Inverkehrsetzung,DATA_Bestand,DATA_Bevölkerung_Vorjahr,DATA_Inverkehrsetzung pro 1000,DATA_Bestand pro 1000
BS,Basel-Stadt,2013,Wasserstoff,0,0,187425.0,0.0,0.0
BS,Basel-Stadt,2014,Anderer,1,66,189335.0,0.005281643647503103,0.34858848073520476
BS,Basel-Stadt,2014,Benzin,4134,46334,189335.0,21.83431483877783,244.71967676340878
BS,Basel-Stadt,2014,Benzin-elektrisch: Normal-Hybrid,87,646,189335.0,0.45950299733276995,3.4119417962870044
BS,Basel-Stadt,2014,Benzin-elektrisch: Plug-in-Hybrid,19,4,189335.0,0.10035122930255896,0.021126574590012413
BS,Basel-Stadt,2014,Diesel,3867,19583,189335.0,20.4241159848945,103.43042754905326
BS,Basel-Stadt,2014,Diesel-elektrisch: Normal-Hybrid,3,20,189335.0,0.015844930942509307,0.10563287295006206
BS,Basel-Stadt,2014,Diesel-elektrisch: Plug-in-Hybrid,1,2,189335.0,0.005281643647503103,0.010563287295006206
BS,Basel-Stadt,2014,Elektrisch,28,61,189335.0,0.1478860221300869,0.3221802624976893
BS,Basel-Stadt,2014,Gas (mono- und bivalent),26,312,189335.0,0.13732273483508067,1.647872818020968
BS,Basel-Stadt,2014,Ohne Motor,0,0,189335.0,0.0,0.0
BS,Basel-Stadt,2014,Wasserstoff,0,0,189335.0,0.0,0.0
BS,Basel-Stadt,2015,Anderer,2,68,190580.0,0.0104942806170637,0.3568055409801658
BS,Basel-Stadt,2015,Benzin,4092,45285,190580.0,21.47129814251233,237.61674887186484
BS,Basel-Stadt,2015,Benzin-elektrisch: Normal-Hybrid,112,703,190580.0,0.5876797145555672,3.688739636897891
BS,Basel-Stadt,2015,Benzin-elektrisch: Plug-in-Hybrid,17,18,190580.0,0.08920138524504145,0.0944485255535733
BS,Basel-Stadt,2015,Diesel,3148,19225,190580.0,16.517997691258266,100.87627243152482
BS,Basel-Stadt,2015,Diesel-elektrisch: Normal-Hybrid,24,27,190580.0,0.1259313674047644,0.14167278833035996
BS,Basel-Stadt,2015,Diesel-elektrisch: Plug-in-Hybrid,2,4,190580.0,0.0104942806170637,0.0209885612341274
BS,Basel-Stadt,2015,Elektrisch,36,86,190580.0,0.1888970511071466,0.4512540665337391
BS,Basel-Stadt,2015,Gas (mono- und bivalent),31,325,190580.0,0.16266134956448736,1.7053206002728514
BS,Basel-Stadt,2015,Ohne Motor,0,0,190580.0,0.0,0.0
BS,Basel-Stadt,2015,Wasserstoff,0,0,190580.0,0.0,0.0
BS,Basel-Stadt,2016,Anderer,0,68,191817.0,0.0,0.3545045538195259
BS,Basel-Stadt,2016,Benzin,3944,44285,191817.0,20.561264121532503,230.87109067496624
BS,Basel-Stadt,2016,Benzin-elektrisch: Normal-Hybrid,101,838,191817.0,0.526543528467237,4.3687472955994515
BS,Basel-Stadt,2016,Benzin-elektrisch: Plug-in-Hybrid,27,41,191817.0,0.14075916107539999,0.21374539274412593
BS,Basel-Stadt,2016,Diesel,3285,20223,191817.0,17.12569793084033,105.42861164547459
BS,Basel-Stadt,2016,Diesel-elektrisch: Normal-Hybrid,13,29,191817.0,0.06777292940667408,0.1511857655995037
BS,Basel-Stadt,2016,Diesel-elektrisch: Plug-in-Hybrid,1,5,191817.0,0.005213302262051852,0.026066511310259256
BS,Basel-Stadt,2016,Elektrisch,45,134,191817.0,0.2345986017923333,0.6985825031149482
BS,Basel-Stadt,2016,Gas (mono- und bivalent),27,333,191817.0,0.14075916107539999,1.7360296532632666
BS,Basel-Stadt,2016,Ohne Motor,0,0,191817.0,0.0,0.0
BS,Basel-Stadt,2016,Wasserstoff,10,0,191817.0,0.05213302262051851,0.0
BS,Basel-Stadt,2017,Anderer,0,75,193070.0,0.0,0.38846014398922674
BS,Basel-Stadt,2017,Benzin,4410,43815,193070.0,22.84145646656653,226.93841611850624
BS,Basel-Stadt,2017,Benzin-elektrisch: Normal-Hybrid,112,923,193070.0,0.5801004816905786,4.78064950536075
BS,Basel-Stadt,2017,Benzin-elektrisch: Plug-in-Hybrid,45,77,193070.0,0.23307608639353602,0.39881908116227277
BS,Basel-Stadt,2017,Diesel,3030,20684,193070.0,15.69378981716476,107.1321282436422
BS,Basel-Stadt,2017,Diesel-elektrisch: Normal-Hybrid,2,36,193070.0,0.010358937173046045,0.18646086911482881
BS,Basel-Stadt,2017,Diesel-elektrisch: Plug-in-Hybrid,1,7,193070.0,0.005179468586523022,0.03625628010566116
BS,Basel-Stadt,2017,Elektrisch,56,177,193070.0,0.2900502408452893,0.9167659398145751
BS,Basel-Stadt,2017,Gas (mono- und bivalent),20,337,193070.0,0.10358937173046046,1.7454809136582585
BS,Basel-Stadt,2017,Ohne Motor,0,0,193070.0,0.0,0.0
BS,Basel-Stadt,2017,Wasserstoff,0,12,193070.0,0.0,0.06215362303827627
BS,Basel-Stadt,2018,Anderer,1,77,193908.0,0.005157084803102502,0.3970955298388927
BS,Basel-Stadt,2018,Benzin,4388,43366,193908.0,22.62928811601378,223.6421395713431
BS,Basel-Stadt,2018,Benzin-elektrisch: Normal-Hybrid,152,1023,193908.0,0.7838768900715803,5.275697753573859
BS,Basel-Stadt,2018,Benzin-elektrisch: Plug-in-Hybrid,43,121,193908.0,0.2217546465334076,0.6240072611754028
BS,Basel-Stadt,2018,Diesel,3046,20919,193908.0,15.708480310250222,107.88105699610125
BS,Basel-Stadt,2018,Diesel-elektrisch: Normal-Hybrid,21,47,193908.0,0.10829878086515256,0.2423829857458176
BS,Basel-Stadt,2018,Diesel-elektrisch: Plug-in-Hybrid,0,4,193908.0,0.0,0.02062833921241001
BS,Basel-Stadt,2018,Elektrisch,83,237,193908.0,0.42803803865750767,1.222229098335293
BS,Basel-Stadt,2018,Gas (mono- und bivalent),27,353,193908.0,0.13924128968376756,1.8204509354951832
BS,Basel-Stadt,2018,Ohne Motor,0,0,193908.0,0.0,0.0
BS,Basel-Stadt,2018,Wasserstoff,0,12,193908.0,0.0,0.06188501763723002
BS,Basel-Stadt,2019,Anderer,0,70,194766.0,0.0,0.3594056457492581
BS,Basel-Stadt,2019,Benzin,4738,42815,194766.0,24.326627850856926,219.8278960393498
BS,Basel-Stadt,2019,Benzin-elektrisch: Normal-Hybrid,346,1189,194766.0,1.776490763274904,6.1047616113695415
BS,Basel-Stadt,2019,Benzin-elektrisch: Plug-in-Hybrid,148,211,194766.0,0.7598862224412886,1.0833513036156208
BS,Basel-Stadt,2019,Diesel,2279,20509,194766.0,11.701220952322274,105.30071983816478
BS,Basel-Stadt,2019,Diesel-elektrisch: Normal-Hybrid,121,104,194766.0,0.6212583305094319,0.5339741022560406
BS,Basel-Stadt,2019,Diesel-elektrisch: Plug-in-Hybrid,0,4,194766.0,0.0,0.020537465471386178
BS,Basel-Stadt,2019,Elektrisch,180,376,194766.0,0.9241859462123779,1.9305217543103006
BS,Basel-Stadt,2019,Gas (mono- und bivalent),30,355,194766.0,0.1540309910353963,1.8227000605855233
BS,Basel-Stadt,2019,Ohne Motor,0,0,194766.0,0.0,0.0
BS,Basel-Stadt,2019,Wasserstoff,0,11,194766.0,0.0,0.05647803004631199
BS,Basel-Stadt,2020,Anderer,0,60,195844.0,0.0,0.306366291538163
BS,Basel-Stadt,2020,Benzin,2582,41463,195844.0,13.183962745858949,211.71442576744755
BS,Basel-Stadt,2020,Benzin-elektrisch: Normal-Hybrid,403,1474,195844.0,2.0577602581646617,7.526398562120872
BS,Basel-Stadt,2020,Benzin-elektrisch: Plug-in-Hybrid,572,478,195844.0,2.9206919793304875,2.4407181225873655
BS,Basel-Stadt,2020,Diesel,1053,19872,195844.0,5.376728416494761,101.46851575743959
BS,Basel-Stadt,2020,Diesel-elektrisch: Normal-Hybrid,205,204,195844.0,1.0467514960887239,1.0416453912297543
BS,Basel-Stadt,2020,Diesel-elektrisch: Plug-in-Hybrid,2,6,195844.0,0.010212209717938767,0.030636629153816302
BS,Basel-Stadt,2020,Elektrisch,299,587,195844.0,1.5267253528318458,2.9972835522150283
BS,Basel-Stadt,2020,Gas (mono- und bivalent),18,349,195844.0,0.09190988746144892,1.782030595780315
BS,Basel-Stadt,2020,Ohne Motor,0,0,195844.0,0.0,0.0
BS,Basel-Stadt,2020,Wasserstoff,0,11,195844.0,0.0,0.05616715344866322
BS,Basel-Stadt,2021,Anderer,1,65,196735.0,0.005082979642666531,0.3303936767733245
BS,Basel-Stadt,2021,Benzin,2260,40623,196735.0,11.48753399242636,206.4858820240425
BS,Basel-Stadt,2021,Benzin-elektrisch: Normal-Hybrid,753,2076,196735.0,3.827483670927898,10.552265738175718
BS,Basel-Stadt,2021,Benzin-elektrisch: Plug-in-Hybrid,340,614,196735.0,1.7282130785066205,3.1209495005972503
BS,Basel-Stadt,2021,Diesel,947,19601,196735.0,4.813581721605205,99.63148397590668
BS,Basel-Stadt,2021,Diesel-elektrisch: Normal-Hybrid,286,498,196735.0,1.453732177802628,2.5313238620479326
BS,Basel-Stadt,2021,Diesel-elektrisch: Plug-in-Hybrid,8,17,196735.0,0.040663837141332246,0.08641065392533104
BS,Basel-Stadt,2021,Elektrisch,395,916,196735.0,2.00777695885328,4.656009352682543
BS,Basel-Stadt,2021,Gas (mono- und bivalent),5,316,196735.0,0.025414898213332655,1.6062215670826239
BS,Basel-Stadt,2021,Ohne Motor,0,0,196735.0,0.0,0.0
BS,Basel-Stadt,2021,Wasserstoff,2,12,196735.0,0.010165959285333061,0.06099575571199837
BS,Basel-Stadt,2022,Anderer,0,65,196036.0,0.0,0.33157175212716034
BS,Basel-Stadt,2022,Benzin,1353,39140,196036.0,6.901793548123814,199.65720581933928
BS,Basel-Stadt,2022,Benzin-elektrisch: Normal-Hybrid,630,2514,196036.0,3.2136954436940153,12.824175151502784
BS,Basel-Stadt,2022,Benzin-elektrisch: Plug-in-Hybrid,373,871,196036.0,1.9027117468220123,4.443061478503948
BS,Basel-Stadt,2022,Diesel,513,18903,196036.0,2.616866289865127,96.42616662245709
BS,Basel-Stadt,2022,Diesel-elektrisch: Normal-Hybrid,374,618,196036.0,1.9078128507008918,3.152482197147463
BS,Basel-Stadt,2022,Diesel-elektrisch: Plug-in-Hybrid,6,22,196036.0,0.03060662327327634,0.11222428533534656
BS,Basel-Stadt,2022,Elektrisch,485,1290,196036.0,2.474035381256504,6.580424003754413
BS,Basel-Stadt,2022,Gas (mono- und bivalent),0,298,196036.0,0.0,1.520128955906058
BS,Basel-Stadt,2022,Ohne Motor,0,0,196036.0,0.0,0.0
BS,Basel-Stadt,2022,Wasserstoff,3,13,196036.0,0.01530331163663817,0.06631435042543207
BS,Basel-Stadt,2023,Anderer,0,64,196786.0,0.0,0.32522638805606086
BS,Basel-Stadt,2023,Benzin,1318,38002,196786.0,6.697630929029504,193.1133312329129
BS,Basel-Stadt,2023,Benzin-elektrisch: Normal-Hybrid,954,3249,196786.0,4.847905846960657,16.510320856158465
BS,Basel-Stadt,2023,Benzin-elektrisch: Plug-in-Hybrid,486,1054,196786.0,2.4696878843007126,5.356072078298253
BS,Basel-Stadt,2023,Diesel,573,18254,196786.0,2.91179250556442,92.76066386836462
BS,Basel-Stadt,2023,Diesel-elektrisch: Normal-Hybrid,535,1019,196786.0,2.718689337656134,5.178213897330095
BS,Basel-Stadt,2023,Diesel-elektrisch: Plug-in-Hybrid,16,32,196786.0,0.08130659701401521,0.16261319402803043
BS,Basel-Stadt,2023,Elektrisch,652,1830,196786.0,3.3132438283211205,9.299442033477991
BS,Basel-Stadt,2023,Gas (mono- und bivalent),2,278,196786.0,0.010163324626751902,1.4127021231185146
BS,Basel-Stadt,2023,Ohne Motor,0,0,196786.0,0.0,0.0
BS,Basel-Stadt,2023,Wasserstoff,1,12,196786.0,0.005081662313375951,0.06097994776051142
BS,Basel-Stadt,2024,Anderer,0,56,200031.0,0.0,0.2799566067259575
BS,Basel-Stadt,2024,Benzin,1087,37044,200031.0,5.434157705555639,185.1912953492209
BS,Basel-Stadt,2024,Benzin-elektrisch: Normal-Hybrid,1468,4560,200031.0,7.338862476316171,22.79646654768511
BS,Basel-Stadt,2024,Benzin-elektrisch: Plug-in-Hybrid,470,1324,200031.0,2.3496358064500003,6.618974059020852
BS,Basel-Stadt,2024,Diesel,648,17535,200031.0,3.2394978778289363,87.66141248106543
BS,Basel-Stadt,2024,Diesel-elektrisch: Normal-Hybrid,612,1301,200031.0,3.059525773505107,6.503991881258405
BS,Basel-Stadt,2024,Diesel-elektrisch: Plug-in-Hybrid,18,55,200031.0,0.0899860521619149,0.2749573816058511
BS,Basel-Stadt,2024,Elektrisch,705,2378,200031.0,3.5244537096750004,11.88815733561298
BS,Basel-Stadt,2024,Gas (mono- und bivalent),0,251,200031.0,0.0,1.2548055051467024
BS,Basel-Stadt,2024,Ohne Motor,0,0,200031.0,0.0,0.0
BS,Basel-Stadt,2024,Wasserstoff,0,12,200031.0,0.0,0.059990701441276606
FR,Fribourg,2010,Anderer,10,104,278541.0,0.03590135743032444,0.3733741172753742
FR,Fribourg,2010,Benzin,8451,126453,278541.0,30.340237164367185,453.98343511368165
FR,Fribourg,2010,Benzin-elektrisch: Normal-Hybrid,144,533,278541.0,0.5169795469966719,1.9135423510362928
FR,Fribourg,2010,Benzin-elektrisch: Plug-in-Hybrid,0,0,278541.0,0.0,0.0
FR,Fribourg,2010,Diesel,2944,26990,278541.0,10.569359627487515,96.89776370444567
FR,Fribourg,2010,Diesel-elektrisch: Normal-Hybrid,0,1,278541.0,0.0,0.003590135743032444
FR,Fribourg,2010,Diesel-elektrisch: Plug-in-Hybrid,0,0,278541.0,0.0,0.0
FR,Fribourg,2010,Elektrisch,2,9,278541.0,0.007180271486064888,0.032311221687291995
FR,Fribourg,2010,Gas (mono- und bivalent),10,113,278541.0,0.03590135743032444,0.4056853389626662
FR,Fribourg,2010,Ohne Motor,0,0,278541.0,0.0,0.0
FR,Fribourg,2010,Wasserstoff,0,0,278541.0,0.0,0.0
FR,Fribourg,2011,Anderer,33,132,278541.0,0.11847447952007066,0.47389791808028264
FR,Fribourg,2011,Benzin,9164,127575,278541.0,32.900003949149315,458.01156741736406
FR,Fribourg,2011,Benzin-elektrisch: Normal-Hybrid,264,751,278541.0,0.9477958361605653,2.6961919430173653
FR,Fribourg,2011,Benzin-elektrisch: Plug-in-Hybrid,0,0,278541.0,0.0,0.0
FR,Fribourg,2011,Diesel,3729,30337,278541.0,13.387616185767984,108.91394803637526
FR,Fribourg,2011,Diesel-elektrisch: Normal-Hybrid,0,0,278541.0,0.0,0.0
FR,Fribourg,2011,Diesel-elektrisch: Plug-in-Hybrid,0,0,278541.0,0.0,0.0
FR,Fribourg,2011,Elektrisch,6,12,278541.0,0.021540814458194665,0.04308162891638933
FR,Fribourg,2011,Gas (mono- und bivalent),10,120,278541.0,0.03590135743032444,0.4308162891638933
FR,Fribourg,2011,Ohne Motor,0,0,278541.0,0.0,0.0
FR,Fribourg,2011,Wasserstoff,0,0,278541.0,0.0,0.0
FR,Fribourg,2012,Anderer,29,161,284714.0,0.10185659995644752,0.5654797445857949
FR,Fribourg,2012,Benzin,8269,128581,284714.0,29.043180173788432,451.6146027241372
FR,Fribourg,2012,Benzin-elektrisch: Normal-Hybrid,265,1005,284714.0,0.930758585808917,3.52985803297344
FR,Fribourg,2012,Benzin-elektrisch: Plug-in-Hybrid,0,0,284714.0,0.0,0.0
FR,Fribourg,2012,Diesel,4070,34306,284714.0,14.295046959404877,120.4928454519272
FR,Fribourg,2012,Diesel-elektrisch: Normal-Hybrid,26,16,284714.0,0.09131971030578054,0.056196744803557255
FR,Fribourg,2012,Diesel-elektrisch: Plug-in-Hybrid,0,0,284714.0,0.0,0.0
FR,Fribourg,2012,Elektrisch,27,34,284714.0,0.09483200685600288,0.11941808270755916
FR,Fribourg,2012,Gas (mono- und bivalent),8,137,284714.0,0.028098372401778628,0.48118462738045903
FR,Fribourg,2012,Ohne Motor,0,0,284714.0,0.0,0.0
FR,Fribourg,2012,Wasserstoff,0,0,284714.0,0.0,0.0
FR,Fribourg,2013,Anderer,2,168,291445.0,0.006862358249412411,0.5764380929506425
FR,Fribourg,2013,Benzin,8039,128401,291445.0,27.583248983513187,440.56683079140146
FR,Fribourg,2013,Benzin-elektrisch: Normal-Hybrid,296,1321,291445.0,1.0156290209130368,4.532587623736897
FR,Fribourg,2013,Benzin-elektrisch: Plug-in-Hybrid,3,2,291445.0,0.010293537374118615,0.006862358249412411
FR,Fribourg,2013,Diesel,4011,38221,291445.0,13.762459469196589,131.14309732539587
FR,Fribourg,2013,Diesel-elektrisch: Normal-Hybrid,19,46,291445.0,0.0651924033694179,0.15783423973648544
FR,Fribourg,2013,Diesel-elektrisch: Plug-in-Hybrid,3,3,291445.0,0.010293537374118615,0.010293537374118615
FR,Fribourg,2013,Elektrisch,35,70,291445.0,0.12009126936471719,0.24018253872943437
FR,Fribourg,2013,Gas (mono- und bivalent),19,149,291445.0,0.0651924033694179,0.5112456895812246
FR,Fribourg,2013,Ohne Motor,0,0,291445.0,0.0,0.0
FR,Fribourg,2013,Wasserstoff,0,0,291445.0,0.0,0.0
FR,Fribourg,2014,Anderer,1,169,297671.0,0.003359413580765342,0.5677408951493428
FR,Fribourg,2014,Benzin,7540,128517,297671.0,25.329978398970674,431.7417551592194
FR,Fribourg,2014,Benzin-elektrisch: Normal-Hybrid,254,1584,297671.0,0.8532910495143967,5.3213111119323
FR,Fribourg,2014,Benzin-elektrisch: Plug-in-Hybrid,13,13,297671.0,0.043672376549949446,0.043672376549949446
FR,Fribourg,2014,Diesel,3745,41617,297671.0,12.581003859966204,139.8087149907112
FR,Fribourg,2014,Diesel-elektrisch: Normal-Hybrid,16,66,297671.0,0.05375061729224547,0.22172129633051255
FR,Fribourg,2014,Diesel-elektrisch: Plug-in-Hybrid,4,6,297671.0,0.013437654323061368,0.020156481484592047
FR,Fribourg,2014,Elektrisch,36,122,297671.0,0.1209388889075523,0.4098484568533717
FR,Fribourg,2014,Gas (mono- und bivalent),15,173,297671.0,0.05039120371148013,0.5811785494724041
FR,Fribourg,2014,Ohne Motor,0,0,297671.0,0.0,0.0
FR,Fribourg,2014,Wasserstoff,0,0,297671.0,0.0,0.0
FR,Fribourg,2015,Anderer,1,165,303425.0,0.0032957073411881027,0.5437917112960369
FR,Fribourg,2015,Benzin,8083,129094,303425.0,26.639202438823432,425.4560435033369
FR,Fribourg,2015,Benzin-elektrisch: Normal-Hybrid,259,1835,303425.0,0.8535882013677186,6.047622971080169
FR,Fribourg,2015,Benzin-elektrisch: Plug-in-Hybrid,39,46,303425.0,0.128532586306336,0.15160253769465273
FR,Fribourg,2015,Diesel,4249,44899,303425.0,14.003460492708248,147.97396391200462
FR,Fribourg,2015,Diesel-elektrisch: Normal-Hybrid,36,98,303425.0,0.11864546428277169,0.32297931943643404
FR,Fribourg,2015,Diesel-elektrisch: Plug-in-Hybrid,8,11,303425.0,0.02636565872950482,0.036252780753069126
FR,Fribourg,2015,Elektrisch,82,209,303425.0,0.27024800197742443,0.6888028343083133
FR,Fribourg,2015,Gas (mono- und bivalent),29,193,303425.0,0.09557551289445497,0.6360715168493037
FR,Fribourg,2015,Ohne Motor,0,0,303425.0,0.0,0.0
FR,Fribourg,2015,Wasserstoff,0,0,303425.0,0.0,0.0
FR,Fribourg,2016,Anderer,0,158,307510.0,0.0,0.5138044291242561
FR,Fribourg,2016,Benzin,7517,129586,307510.0,24.444733504601476,421.40418197782185
FR,Fribourg,2016,Benzin-elektrisch: Normal-Hybrid,389,2168,307510.0,1.264999512210985,7.050177230008781
FR,Fribourg,2016,Benzin-elektrisch: Plug-in-Hybrid,64,96,307510.0,0.2081233130629898,0.3121849695944847
FR,Fribourg,2016,Diesel,4080,47631,307510.0,13.2678612077656,154.89252382036355
FR,Fribourg,2016,Diesel-elektrisch: Normal-Hybrid,17,119,307510.0,0.055282755032356676,0.38697928522649666
FR,Fribourg,2016,Diesel-elektrisch: Plug-in-Hybrid,3,16,307510.0,0.009755780299827647,0.05203082826574745
FR,Fribourg,2016,Elektrisch,82,295,307510.0,0.26665799486195574,0.9593183961497187
FR,Fribourg,2016,Gas (mono- und bivalent),24,219,307510.0,0.07804624239862118,0.7121719618874183
FR,Fribourg,2016,Ohne Motor,0,0,307510.0,0.0,0.0
FR,Fribourg,2016,Wasserstoff,0,0,307510.0,0.0,0.0
FR,Fribourg,2017,Anderer,0,155,311963.0,0.0,0.49685379355885156
FR,Fribourg,2017,Benzin,7716,130170,311963.0,24.733702394194182,417.2610213390691
FR,Fribourg,2017,Benzin-elektrisch: Normal-Hybrid,425,2581,311963.0,1.3623410468549155,8.273417039841265
FR,Fribourg,2017,Benzin-elektrisch: Plug-in-Hybrid,84,203,311963.0,0.2692627010254421,0.6507181941448185
FR,Fribourg,2017,Diesel,3694,49881,311963.0,11.84114782842837,159.8939617839295
FR,Fribourg,2017,Diesel-elektrisch: Normal-Hybrid,4,133,311963.0,0.01282203338216391,0.42633260995695005
FR,Fribourg,2017,Diesel-elektrisch: Plug-in-Hybrid,3,19,311963.0,0.009616525036622933,0.060904658565278574
FR,Fribourg,2017,Elektrisch,109,399,311963.0,0.34940040966396657,1.27899782987085
FR,Fribourg,2017,Gas (mono- und bivalent),16,227,311963.0,0.05128813352865564,0.7276503944378019
FR,Fribourg,2017,Ohne Motor,0,0,311963.0,0.0,0.0
FR,Fribourg,2017,Wasserstoff,0,0,311963.0,0.0,0.0
FR,Fribourg,2018,Anderer,0,141,315120.0,0.0,0.4474485910129474
FR,Fribourg,2018,Benzin,7970,130967,315120.0,25.29195227215029,415.60992637725315
FR,Fribourg,2018,Benzin-elektrisch: Normal-Hybrid,511,3038,315120.0,1.6216044681391217,9.64077176948464
FR,Fribourg,2018,Benzin-elektrisch: Plug-in-Hybrid,89,313,315120.0,0.2824320893627824,0.9932724041634934
FR,Fribourg,2018,Diesel,2836,50997,315120.0,8.999746128459,161.83358720487433
FR,Fribourg,2018,Diesel-elektrisch: Normal-Hybrid,14,154,315120.0,0.04442751967504442,0.48870271642548874
FR,Fribourg,2018,Diesel-elektrisch: Plug-in-Hybrid,2,20,315120.0,0.0063467885250063465,0.06346788525006347
FR,Fribourg,2018,Elektrisch,146,515,315120.0,0.46331556232546334,1.6342980451891342
FR,Fribourg,2018,Gas (mono- und bivalent),24,252,315120.0,0.07616146230007616,0.7996953541507997
FR,Fribourg,2018,Ohne Motor,0,0,315120.0,0.0,0.0
FR,Fribourg,2018,Wasserstoff,0,0,315120.0,0.0,0.0
FR,Fribourg,2019,Anderer,0,124,318760.0,0.0,0.38900740368929604
FR,Fribourg,2019,Benzin,8142,131289,318760.0,25.542728071276194,411.87413728196765
FR,Fribourg,2019,Benzin-elektrisch: Normal-Hybrid,777,3730,318760.0,2.437570586020831,11.701593675492534
FR,Fribourg,2019,Benzin-elektrisch: Plug-in-Hybrid,106,410,318760.0,0.3325385870247208,1.286234157359769
FR,Fribourg,2019,Diesel,2542,51494,318760.0,7.9746517756305675,161.54473585142426
FR,Fribourg,2019,Diesel-elektrisch: Normal-Hybrid,100,205,318760.0,0.313715648136529,0.6431170786798845
FR,Fribourg,2019,Diesel-elektrisch: Plug-in-Hybrid,0,18,318760.0,0.0,0.056468816664575226
FR,Fribourg,2019,Elektrisch,412,850,318760.0,1.2925084703224996,2.6665830091604965
FR,Fribourg,2019,Gas (mono- und bivalent),26,276,318760.0,0.08156606851549755,0.8658551888568201
FR,Fribourg,2019,Ohne Motor,0,0,318760.0,0.0,0.0
FR,Fribourg,2019,Wasserstoff,0,0,318760.0,0.0,0.0
FR,Fribourg,2020,Anderer,0,105,321831.0,0.0,0.3262581914110201
FR,Fribourg,2020,Benzin,5338,131771,321831.0,16.586345007162144,409.44160133734783
FR,Fribourg,2020,Benzin-elektrisch: Normal-Hybrid,1246,4719,321831.0,3.871597204744105,14.662975288272417
FR,Fribourg,2020,Benzin-elektrisch: Plug-in-Hybrid,436,739,321831.0,1.3547482995733784,2.296236223359465
FR,Fribourg,2020,Diesel,1840,51575,321831.0,5.717286401869304,160.25491640022247
FR,Fribourg,2020,Diesel-elektrisch: Normal-Hybrid,139,338,321831.0,0.43190370101077896,1.0502406542564264
FR,Fribourg,2020,Diesel-elektrisch: Plug-in-Hybrid,6,20,321831.0,0.01864332522348686,0.06214441741162286
FR,Fribourg,2020,Elektrisch,643,1409,321831.0,1.9979430197836754,4.378074206648831
FR,Fribourg,2020,Gas (mono- und bivalent),11,276,321831.0,0.03417942957639258,0.8575929602803956
FR,Fribourg,2020,Ohne Motor,0,0,321831.0,0.0,0.0
FR,Fribourg,2020,Wasserstoff,0,0,321831.0,0.0,0.0
FR,Fribourg,2021,Anderer,0,103,325547.0,0.0,0.31639056726064135
FR,Fribourg,2021,Benzin,4678,131397,325547.0,14.369660909177478,403.6191394790921
FR,Fribourg,2021,Benzin-elektrisch: Normal-Hybrid,2232,6825,325547.0,6.856152875007296,20.96471477236774
FR,Fribourg,2021,Benzin-elektrisch: Plug-in-Hybrid,947,1655,325547.0,2.90895016694978,5.083751347731664
FR,Fribourg,2021,Diesel,1083,50449,325547.0,3.3267085858570344,154.96687114303003
FR,Fribourg,2021,Diesel-elektrisch: Normal-Hybrid,246,611,325547.0,0.7556512577292988,1.8768411320024452
FR,Fribourg,2021,Diesel-elektrisch: Plug-in-Hybrid,24,40,325547.0,0.07372207392480963,0.12287012320801605
FR,Fribourg,2021,Elektrisch,1253,2572,325547.0,3.8489066094911024,7.900548922275432
FR,Fribourg,2021,Gas (mono- und bivalent),11,270,325547.0,0.03378928388220441,0.8293733316541083
FR,Fribourg,2021,Ohne Motor,0,0,325547.0,0.0,0.0
FR,Fribourg,2021,Wasserstoff,2,2,325547.0,0.006143506160400803,0.006143506160400803
FR,Fribourg,2022,Anderer,0,89,329860.0,0.0,0.2698114351543079
FR,Fribourg,2022,Benzin,3910,129223,329860.0,11.853513611835323,391.75104589825986
FR,Fribourg,2022,Benzin-elektrisch: Normal-Hybrid,2310,9493,329860.0,7.002970957375856,28.77887588673983
FR,Fribourg,2022,Benzin-elektrisch: Plug-in-Hybrid,615,2498,329860.0,1.864427332807858,7.572909719274843
FR,Fribourg,2022,Diesel,788,48706,329860.0,2.3888922573212876,147.65658158006428
FR,Fribourg,2022,Diesel-elektrisch: Normal-Hybrid,290,873,329860.0,0.8791608561207784,2.646577335839447
FR,Fribourg,2022,Diesel-elektrisch: Plug-in-Hybrid,7,53,329860.0,0.021221124113260173,0.16067422542896986
FR,Fribourg,2022,Elektrisch,1781,4427,329860.0,5.399260292245194,13.42084520705754
FR,Fribourg,2022,Gas (mono- und bivalent),1,272,329860.0,0.0030315891590371674,0.8245922512581094
FR,Fribourg,2022,Ohne Motor,0,0,329860.0,0.0,0.0
FR,Fribourg,2022,Wasserstoff,3,5,329860.0,0.009094767477111501,0.015157945795185836
FR,Fribourg,2023,Anderer,0,80,334465.0,0.0,0.2391879568863708
FR,Fribourg,2023,Benzin,3823,128412,334465.0,11.430194489707443,383.932548996158
FR,Fribourg,2023,Benzin-elektrisch: Normal-Hybrid,2726,11954,334465.0,8.150329630903084,35.74066045774595
FR,Fribourg,2023,Benzin-elektrisch: Plug-in-Hybrid,867,3238,334465.0,2.5921994827560435,9.681132554975857
FR,Fribourg,2023,Diesel,678,46655,334465.0,2.0271179346119923,139.49142660667036
FR,Fribourg,2023,Diesel-elektrisch: Normal-Hybrid,319,1184,334465.0,0.9537619780844034,3.539981761918287
FR,Fribourg,2023,Diesel-elektrisch: Plug-in-Hybrid,13,69,334465.0,0.03886804299403525,0.2062996128144948
FR,Fribourg,2023,Elektrisch,1995,6440,334465.0,5.964749674853871,19.25463052935285
